Course Subject,Course Number,Course Name,Course Description
COMP,6821,Bioinformatics Databases and Systems," The principal objectives of the course are to survey the needs of bioinformatics for data management, knowledge management, and computational support; to provide in-depth description of an example of each kind of database and system; and to introduce advanced database technology and software technology relevant to the needs of bioinformatics. A project is required."
COMP,691,Topics in Computer Science I," Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g., COMP 691A, COMP 691B, etc."
COMP,6961,Graduate Seminar in Computer Science, Students will have to attend a selected set of departmental seminars and submit a comprehensive report on the topics presented in one of the seminars. This course is graded on a pass/fail basis.
COMP,6971,Project and Report ,"Prerequisite: Completion of 16 credits; a CGPA of 3.40 or greater; permission of the Department.
 See Requirements for the Master of/Magisteriate in Applied Computer Science (MApCompSc) section. Project: 8 hours per week.
Note: Students who have received credit for SOEN 6951 or SOEN 6971 may not take this course for credit."
COMP,7241,Parallel Algorithms and Architectures,"Prerequisite: COMP 6281 or permission of instructor.
 Parallel architectures; memory organization, interconnection structures, data routing techniques. Parallel algorithms; paradigms and design techniques, complexity analysis, algorithms for various computation models. A project is required."
COMP,7251,Mobile Computing and Wireless Networks,"Prerequisite: COMP 6461.
 Introduction to mobile computing and wireless networks:local (LAN), personal (PAN) and metropolitan (MAN). Mobile ad hoc networks and sensor networks. Algorithms and protocols for medium access, routing, topology control, and reliable transport. A project is required."
COMP,7451,Semantics of Programming Languages,"Prerequisite: COMP 6411.
 The need for semantic descriptions of programming languages. Classification of semantics: operational, axiomatic, model-theoretic, algebraic, denotational. Classification of languages: procedural, functional, logic, equational. Applications: verification, construction, language design, temporal logic for distributed systems, semantics for advanced languages."
COMP,7521,Cryptography and Data Security,"Prerequisite: COMP 6651.
 Traditional cryptography. Information theory. Private-key (symmetric-key) and public-key (asymmetric-key) cryptographic algorithms. Advanced Encryption Standard (Rijndael). Cryptographic hash functions. Digital signatures. Data-origin authentication and data integrity. Entity authentication. Key distribution, management, recovery, and exhaustion. Authentication protocols. Security services (confidentiality, authentication, integrity, access control, non-repudiation, and availability) and mechanisms (encryption, data-integrity mechanisms, digital signatures, keyed hashes, access-control mechanisms, challenge-response authentication, traffic padding, and routing control). Projects will be offered in selected topics in cryptography."
COMP,7531,Database Systems Principles,"Prerequisite: COMP 6521.
 Database models. Algebraic, logical, and deductive database languages. Query equivalence and optimization. Query rewriting, information integration and data exchange. Incomplete information and complex values. Introduction to current research topics. A project is required."
COMP,7651,Advanced Analysis of Algorithms,"Prerequisite: COMP 6651.
 Amortized analysis of algorithms, NP-hardness and approximation algorithms, online algorithms, randomized algorithms. Selected topics of current interest. Project or term paper."
COMP,7661,Advanced Rendering and Animation,"Prerequisite: COMP 6761.
 Advanced concepts in rendering and animation with emphasis on computational techniques for synthesizing complex realistic images, both static and dynamic. Topics include: overview of computer graphics techniques in games, cinema, and engineering; realistic rendering methods in real time; animation techniques including physics-based animation. A project is required."
COMP,7751,Advanced Pattern Recognition ,"Prerequisite: COMP 6731.
 Pattern recognition principles; modern methods in digitization and data acquisition; advanced topics in feature extraction and selection; principal component analysis and clustering techniques; multiple classifiers and expert systems; advanced topics in neural networks in pattern recognition, performance evaluation and error reduction. Applications. A project is required."
COMP,7781,Advanced Image Processing,"Prerequisite: COMP 6771 or permission of instructor.
 Digital image processing; segmentation morphological processing; wavelet transforms and multi-resolution analysis; partial differential equation approach; variational methods; diffusion and shock filters; Markov random field and Bayesian inference; energy minimization framework: snakes, active contours, Mumford-Shah model, level set method; numerical implementation; applications; image inpainting; registration; and document processing. A project is required."
COMP,791,Topics in Computer Science II," Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g. COMP 791A, COMP 791B, etc."
COMP,7941,Master’s Research and Thesis, Students are required to submit a thesis prepared under the guidance of a faculty member appointed by the GCS Graduate Studies Committee. The thesis must represent the result of the student’s independent work undertaken after admission to the program. The thesis will be evaluated by a committee appointed by the GCS Graduate Studies Committee.
COMP,8901,Doctoral Research and Thesis,Description not available
SOEN,6011,Software Engineering Processes," Introduction to software engineering concepts, modern management processes and software lifecycles. Tracking of software requirements and development through issue trackers. Version control practices include integration of feature branching. Validation practices including testing frameworks and code review. Continuous integration and build environments. A practical component on setting up a development environment similar to those used in professional environments. Case studies of successful management processes from open source projects and industry. A project is required."
SOEN,6021,Software Re-engineering,"Prerequisite: SOEN 6461 or permission of the instructor. This course introduces software re-engineering, software architecture recovery and reconstruction, and reflexion models. Students use development history to support reengineering, and are exposed to the latest empirical studies on software reengineering and software metrics applied to software re-engineering. Also, students learn how to apply various software re-engineering patterns and software migration strategies. A project is required.
Note: Students who have received credit for SOEN 691 (Software Re-engineering) may not take this course for credit."
SOEN,6211,Semantic Computing," System analysis, architecture, and engineering for semantic software products. Text Mining systems and their architectures. Tagging and Tag Analysis. Recommender Systems and Collaborative Filtering. Crawling the Blogosphere and Opinion Mining. Applying Clustering, Machine Learning, Classification, and Regression. The Web of Data and Semantic Web Technologies: RDF, RDFS, SPARQL. Linked Open Data (LOD). Design and Re-Use of Semantic Web Vocabularies and Ontologies. Semantic Desktops and Semantic Web Information Systems. Semantic Application Development. Application case studies in biomedical research, software development, business intelligence, online gaming, e-commerce and e-science. Research paper seminar. Empirical evaluation methodologies for semantic systems. A project is required.
Note: Students who have received credit for this topic under a SOEN 691B number may not take this course for credit."
SOEN,6311,Formal Methods," Components of formal systems: formal methods; levels of formalism. Integrating formal methods into the existing software life-cycle process model for a given project. Attributes of a formal specification language. Formal notations based on extended finite-state machines; case studies involving the design of user interfaces, reactive systems, and concurrent systems. Software development using formal methods, including tools for: type checking; debugging; verifying checkable properties; validation of refinements; and code generation from refinements. A project is required."
SOEN,6431,Software Comprehension and Maintenance," The course addresses both technical and managerial views of software comprehension and software maintenance issues. Topics covered in this course include: cognitive models, software visualization, CASE tools, reverse engineering, static and dynamic source code analysis, software configuration management, and introduction to current research topics in software maintenance and program comprehension. A project is required.
Note: Students who have received credit for COMP 6431 may not take this course for credit."
SOEN,6441,Advanced Programming Practices," Problems of writing and managing code. Managing code complexity and quality through a programming process. Self-documenting code, and documentation generation. Software configuration management. Best practices for writing unit tests to control code quality. Advanced practices such as multi-threading concurrency, code reuse, and fault tolerance. A project is required. Laboratory: two hours per week."
SOEN,6461,Software Design Methodologies," Introduction to software design processes and their models. Representations of design/architecture. Software architectures and design plans. Design methods, object-oriented application frameworks, design patterns, design quality and assurance, coupling and cohesion measurements, design verification and documentation. A design project.
Note: Students who have received credit for COMP 6471 before September 2011 may not take this course for credit."
SOEN,6471,Advanced Software Architectures," Study of architectural view models, architectural styles and frameworks; Architectural case studies and extraction of concrete architecture; Architectural design patterns; Model Driven Architecture (MDA), Service Oriented Architecture (SOA). Domain specific architectures such as mobile and cloud computing. A project is required."
SOEN,6481,Software Systems Requirements Specification," The requirements engineering (RE) process. Requirements engineering in different software lifecycle models. Problem analysis. Requirements elicitation. Requirements evaluation. Inconsistency management. Risk analysis. Requirements prioritization and negotiation. Requirements specification: natural language documentation, IEEE and ISO standards. Use cases. Agile processes and user stories. Introduction to formal specification: logics, formal languages. Requirements quality assurance. RE tools. Requirements evolution. Traceability. Domain modelling: UML, ontologies, domain-specific languages. Modelling behaviour. Acceptance criteria. Test cases. Cost models. A project is required.
Note: Students who have received credit for COMP 6481 may not take this course for credit."
SOEN,6491,Software Refactoring,"Prerequisite: SOEN 6461.
 Topics include an introduction to preventive maintenance, design problems, and refactorings; techniques for the detection of design problems and refactoring opportunities; management of preventive maintenance: visualization, prioritization, ranking, and evolution tracking of design problems; empirical studies on refactoring activities and practices; implementation of source code analysis techniques and refactorings. A project is required.
Note: Students who have received credit for SOEN 691C (Software Refactoring) may not take this course for credit."
SOEN,6501,Programming Competency Test,See Requirements for the Master of/Magisteriate in Applied Computer Science (MApCompSc) or Master of/Magisteriate in Engineering (Software Engineering) sections.
SOEN,6611,Software Measurement," Role of measurement in Software Engineering, theoretical, technical and managerial views on software measurement. Representational theory of measurement. Theoretical validation of software measurement. Goal-driven measurement. Collecting and analyzing software engineering data. Software quality modelling and measuring. Testing and measurement. Reliability models. Functional size measurement methods. Effort estimation models and their usage in project management. Software measurement standards. Tool support. Case studies. A project is required."
SOEN,6751,Human Computer Interface Design ," Introduction to human computer interaction. User-centered design process. User modelling. Task analysis. User interface design knowledge (principles, guidelines and patterns). User interface prototyping. User interface evaluation. A project is required. Laboratory: two hours per week.
Note: Note: Students who have received credit for COMP 6751 before September 2011 may not take this course for credit."
SOEN,6761,Multimedia Computing," This course covers the state-of-the-art technology for multimedia computing. The course topics will cover current media types, images, video, audio, graphics and 3D models in terms of algorithms and data structures for their capture, representation, creation, storage, archival, transmission, assembling, presentation and retrieval. This course will cover fundamental ideas in multimedia technology applicable to computer science and software engineering. A project is required."
SOEN,6841,Software Project Management," Fundamental concepts of management activities, demonstrating how it can relate to software engineering and how the two can be mutually supportive throughout software development and maintenance. Overview of object-oriented development; software development processes; quality considerations; activity planning; risk management; monitoring and control; maintenance and evolution; issues of professional ethics and practice, and legal issues. A project is required."
SOEN,6861,"Services Computing: Foundations, Design and Implementations"," System design with Service Oriented Architecture. Open standards for Web services. Development of SOAP (Service-Oriented Architecture and Programming) and RESTful (REpresentational State Transfer) services. Business process modelling and management. Service composition. Formal models for services. A project is required.
Note: Students who have received credit for SOEN 691A (Services Computing: Foundations, Design and Implementations) may not take this course for credit."
SOEN,691,Topics in Software Engineering ," Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. SOEN 691A, SOEN 691B, etc."
SOEN,6951,Software Engineering Case Study," Students will complete a case study of a software project. Whenever possible, the project should be conducted in an industrial environment with the cooperation of the student’s employer.
Note: Students who have received credit for SOEN 6971 or COMP 6971 may not take this course for credit."
SOEN,6971,Project and Report ,"Prerequisite: Completion of 16 credits; a CGPA of 3.40 or greater; permission of the Department.
 See Requirements for the Degree of Master of/Magisteriate in Applied Computer Science (MApCompSc) section. Project: 8 hours per week.
Note: Students who have received credit for COMP 6971 or SOEN 6951 may not take this course for credit."
SOEN,7481,Software Verification and Testing,"Prerequisites: SOEN 6461, SOEN 6481.
 Overview of current software engineering testing methods, techniques and standards for testing system implementations. Classical white-box testing; dataflow testing; classical black-box testing; integration testing; system testing. Testing measures; test plan. IEEE standard. Object-oriented testing. Test-driven development. Testing quality measures. Test reduction techniques. Techniques for test automation. Tools and techniques for formal verification of software system designs: model checking and theorem proving. A project is required.
Note: Students who have received credit for COMP 7481 may not take this course for credit."
SOEN,7761,Intelligent User Interfaces,"Prerequisite: SOEN 6751.
 Intelligent systems and intelligent interfaces. A brief introduction to knowledge representation and reasoning. Creation and adaptation of user models. Software agents at the user interface. Applications of these concepts in the development of intelligent user interfaces. Adaptive user interfaces. Selected advanced topics, such as natural language interfaces, speech based user interfaces, and mobile user interfaces. Laboratory: two hours per week. A project is required.
Note: Students who have received credit for COMP 7761 before September 2011 may not take this course for credit."
SOEN,791,Topics in Software Engineering II," Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. SOEN 791A, SOEN 791B, etc."
SOEN,7941,Master’s Research and Thesis, Students are required to submit a thesis prepared under the guidance of a faculty member appointed by the GCS Graduate Studies Committee. The thesis must represent the result of the student’s independent work undertaken after admission to the program. The thesis will be evaluated by a committee appointed by the GCS Graduate Studies Committee.
SOEN,8901,Doctoral Research and Thesis,Description not available
Course Subject,Course Number,Course Name,Course Description
COMP,5361,Discrete Structures and Formal Languages," Discrete mathematics: sets, logic, quantifiers, relations, and functions. Regular languages: finite automata (deterministic and non-deterministic), regular expressions, regular grammars, pumping lemmas for regular languages, closure properties for regular languages. Context-free languages: context-free grammars, parsing and ambiguity, normal forms for grammars, pushdown automata, closure properties for context free languages."
COMP,5421,Advanced Programming,"Prerequisite: COMP 5511.
 Designing classes and programs. Program development. Encapsulation; dependency minimization. Inheritance hierarchies; abstract classes and interfaces; frameworks, Reading and writing files; serialization. Applications of inheritance and generics. Design and use of class libraries; user interface design; database and network programming."
COMP,5461,Operating Systems,"Prerequisites: COMP 5201, 5511.
 Basic concepts of operating systems and system programming. Processes, interprocess communication, and synchronization, memory allocation, segmentation, paging. Resource allocation, scheduling, performance evaluation. File systems, storage devices, I/O systems. Protection, security, and privacy. Advanced operating system concepts: distributed systems, multi-processor and parallel systems, real-time systems."
COMP,5481,Programming and Problem Solving,"Prerequisites: MATH 204, 205 or equivalent.
 Overview of programming and problem solving. Operators and expressions. Types, values, and variables; type conversion. Classes, objects, and methods. Assignment, conditional and repetitive statements. Arrays. Input and Output. Program structure and organization; encapsulation. Recursion and its uses. Designing classes and member functions; aggregation and inheritance. Introduction to libraries and their applications. Lectures: three hours per week. Tutorial: one hour per week. Lab: 3 hours per week."
COMP,5511,Principles of Data Structures,"Prerequisite: COMP 5481 or equivalent training or experience in Java programming.
 Definition, use, and application of fundamental data structures and associated algorithms. Asymptotic analysis of algorithms. Storage management: arrays, strings, lists and trees. Data abstraction: stacks, queues, priority queues, sets, and tables. Searching and sorting. Programming techniques: designing classes for data structures."
COMP,5531,Files and Databases,"Prerequisites: COMP 5361, 5511.
 Introduction to file management: basic file structures and access methods, sequential and indexed-sequential files, B+-trees and R-trees; external sorting; dynamic hashing; clustering techniques. Introduction to database management: fundamental data models - hierarchical, network, and relational; data dependencies; normal forms; and relational database design. Formal query languages: relational algebra, calculus; commercial languages: SQL, QBE. Fundamentals of data processing."
COMP,5541,Tools and Techniques for Software Engineering,"Prerequisites: COMP 5361, COMP 5511, ENCS 6721; or permission of the Graduate Program Director.
 The software life cycle. IEEE and MIL standards for software documentation. Formal methods. Software architectures. Software design and prototyping. Interfacing and encapsulation. Use of libraries, frameworks, and CASE tools. Implementation and maintenance. Verification and validation."
COMP,5611,Elementary Numerical Methods,"Prerequisites: COMP 5361, 5511.
 Error analysis and computer arithmetic. Numerical methods for solving linear systems, Gaussian elimination, LU decomposition. Numerical solution of non-linear equations, fixed point iterations, rate of convergence. Interpolations and approximations, Lagrange polynomials, divided differences, discrete least-square approximation, Legendre polynomials. Numerical integration, Newton-Cotes formulas, Romberg integration. Emphasis will be on the development of efficient algorithms."
Course Subject,Course Number,Course Name,Course Description
BLDG,6071,Wind Engineering and Building Aerodynamics ," Atmospheric circulations; atmospheric boundary layer; wind structure; wind speed and turbulence measurements; bluff body aerodynamics; mean and fluctuating wind forces on buildings; internal wind pressures; along-wind, across-wind and torsional building response to wind; snow drifting and accumulation problems; dispersion of gaseous pollutants. A case study or a project is required."
BLDG,6111,Computer-Aided Building Operation ,"Prerequisite: BLDG 6711.
 Computer systems for energy management, including scheduling and operation of HVAC systems and lighting. Applications for intelligent buildings. Use of simulation and knowledge-based software for automatic regulation of building operation. Diagnosis of malfunctions and modifications of operations. Computerized building security systems. Actions during extraordinary conditions such as fire emergencies. A project is required."
BLDG,6151,Database Applications in Building and Civil Engineering ," Components, properties and limits of databases and database management systems (DBMS). Database requirements for engineering tasks. Design of database schema and implementation in commercially available DBMS. Engineering data modelling techniques. Topics include: the entity/relationship model; the relational data model; the standard database language SQL; and the object-oriented data model. A project is required.
Note: Students who have taken ENGR 6151 may not take this course for credit."
BLDG,6221,Design of Computer-Aided Systems in Building and Civil Engineering ," Object-oriented modelling of physical components, design objectives, performance requirements and engineering processes. Identification of objects and definition of their arrangement and interaction to model engineering processes. Overview of the life-cycle of an engineering software project. Project on implementation of a small scale computer-aided engineering system.
Note: Students who have taken ENGR 6221 may not take this course for credit."
BLDG,6231,Applications of Artificial Intelligence in Building and Civil Engineering," Introduction to artificial intelligence techniques in an engineering context; heuristic search methods, logical reasoning, knowledge-based systems, neural networks, genetics algorithms, and case-based reasoning. Algorithmic versus knowledge-based programming for engineering applications. Emphasis on knowledge-based systems and their characteristics, capabilities and limitations. Case studies in design, failure diagnosis and processing of standards. A project is required.
Note: Students who have taken ENGR 6231 may not take this course for credit."
BLDG,6241,Building Information Modelling in Construction," Topics include introduction to Building Information Modelling (BIM) technologies; BIM implementation at different project stages - pre-construction, construction, and facility management; BIM-Aided design alternatives, constructability analysis, and development of space-time-cost models; BIM visualization for trade coordination and processes monitoring. A project is required."
BLDG,6541,Heat Transfer," (Cannot be taken for credit by students who have completed the Bachelor of/Baccalaureate in Engineering (Building) Program).
 Steady state heat conduction. Convection and radiation heat exchange. Refrigeration cycles. Theory of air vapour mixtures. Introduction to heat transfer in building environment. Unsteady state of heat transfer. Case studies."
BLDG,6561,Building Economics I ," (Cannot be taken for credit by students who have completed the Bachelor of/Baccalaureate in Engineering (Building) Program).
 Development of economic performance measures of interest to developers, owners, contractors and users. Sources of finance and the determinants of the cost of money. Elementary estimating; cost indices; forecasting techniques; value of money; economic comparison techniques; evaluation of projects in private and public sectors; tax regulations; inflation; life-cycle costing; risk analysis; non-economic attributes. Case studies of economic analysis of projects, single building and building components. A project is required."
BLDG,6571,Project Management ," Introduction to managing the development, design and construction of buildings. Examination of project management for the total development process, including inter-relationships between owners, developers, financing sources, designers, contractors and users; methods of project delivery; introduction to planning and scheduling; role and tasks of the project manager; feasibility analyses; construction claims; financing and cash-flow analysis; government regulations; environmental and social constraints; introduction to control of cost, time and technical performance; human factors; computer applications. A project is required."
BLDG,6581,Decision Analysis ," Development of a basic theory of decision making under uncertainty. Rationales of decision makers, utility, the concept of the value of perfect information. The Bayesian approach to decision making; pre-posterior analysis and optimal fixed-sized analysis for random processes. Decision analysis with multiple objective, structuring the problem, multi-attributed utility functions, case studies. A project is required."
BLDG,6591,Computer-Aided Building Design ,"Prerequisites: BLDG 6561.
 Identification of objectives, decision variables, processes and information flow in building design. Application and evaluation of computer systems to components of the building design process. Determination of decision variables in problem modelling and sensitivity of results. Current applications in structural analysis and design, space layout, electrical distribution systems, HVAC design, lighting design, estimating, specification editing and scheduling. Evaluation of issues of interdisciplinary information control and interchange. A project is required."
